Ewe/V	<I>/mA	
-7.4621224E-001	-3.803887931508607E-004
-7.4564874E-001	-3.738651598777409E-004
-7.4515212E-001	-3.546612366580049E-004
-7.4464834E-001	-3.258771617966548E-004
-7.4417073E-001	-3.056739598043334E-004
-7.4362403E-001	-2.808455240225936E-004
-7.4313444E-001	-2.667810870182752E-004
-7.4263787E-001	-2.573137467493748E-004
-7.4213886E-001	-2.501735005069202E-004
-7.4160159E-001	-2.445912911993196E-004
-7.4121958E-001	-2.292787244709943E-004
-7.4065369E-001	-2.103118138605420E-004
-7.4016660E-001	-1.868145598019945E-004
-7.3967713E-001	-1.624002475895064E-004
-7.3919719E-001	-1.493615401396369E-004
-7.3869109E-001	-1.374223904004935E-004
-7.3816818E-001	-1.284317703467752E-004
-7.3763806E-001	-1.211029583159657E-004
-7.3717487E-001	-1.082316549138596E-004
-7.3665673E-001	-8.967066920841050E-005
-7.3618162E-001	-7.243092133753348E-005
-7.3566586E-001	-4.832498479249916E-005
-7.3518109E-001	-3.008676227216322E-005
-7.3461765E-001	-1.421435598028144E-005
-7.3417348E-001	-8.811336237970445E-006
-7.3360765E-001	2.987884801329715E-006
-7.3316121E-001	8.023333001853158E-006
-7.3267877E-001	1.715940724302446E-005
-7.3220605E-001	2.911481702366308E-005
-7.3164493E-001	5.472412586899965E-005
-7.3113638E-001	7.472718394568068E-005
-7.3064691E-001	9.825677349832801E-005
-7.3014307E-001	1.148480214869207E-004
-7.2960830E-001	1.225699796403566E-004
-7.2916651E-001	1.260953199516508E-004
-7.2861737E-001	1.348478405794077E-004
-7.2815180E-001	1.442790407431872E-004
-7.2761214E-001	1.565559883943755E-004
-7.2714418E-001	1.775811725675523E-004
-7.2667623E-001	1.910007240863542E-004
-7.2614139E-001	2.176541227058102E-004
-7.2563279E-001	2.373149039844918E-004
-7.2509551E-001	2.480110229319248E-004
-7.2472066E-001	2.475121892158211E-004
-7.2414523E-001	2.545069797683951E-004
-7.2366059E-001	2.716237866955224E-004
-7.2316629E-001	3.026397880492738E-004
-7.2267199E-001	3.236795358243604E-004
-7.2210133E-001	3.383022887968948E-004
-7.2164774E-001	3.480041549028127E-004
-7.2115827E-001	3.556937805869586E-004
-7.2064489E-001	3.584056605392041E-004
-7.2015780E-001	3.628640788177900E-004
-7.1971130E-001	3.747401105551004E-004
-7.1913588E-001	3.993748127761187E-004
-7.1867746E-001	4.218108431555297E-004
-7.1816891E-001	4.443537442386913E-004
-7.1764600E-001	4.605383919746774E-004
-7.1717077E-001	4.605220368149882E-004
-7.1662170E-001	4.642994145846423E-004
-7.1611059E-001	4.735190902728173E-004
-7.1563792E-001	4.829567221455253E-004
-7.1514130E-001	4.956458337473501E-004
-7.1470195E-001	5.247533650223138E-004
-7.1415275E-001	5.483172270282404E-004
-7.1362752E-001	5.649371730934854E-004
-7.1313798E-001	5.716756925165534E-004
-7.1264857E-001	5.744100245898419E-004
-7.1212083E-001	5.804147871437647E-004
-7.1165526E-001	5.917478486998552E-004
-7.1118015E-001	6.074353613159425E-004
-7.1068585E-001	6.284297063255447E-004
-7.1012479E-001	6.479951455606765E-004
-7.0966154E-001	6.701378654170447E-004
-7.0912194E-001	6.802839555481756E-004
-7.0860857E-001	6.939272833314013E-004
-7.0812863E-001	7.123639030903930E-004
-7.0765346E-001	7.237758849036411E-004
-7.0714015E-001	7.432689531225098E-004
-7.0667452E-001	7.564287135335569E-004
-7.0616120E-001	7.672110299302868E-004
-7.0564544E-001	7.715796907622509E-004
